"currency","mean_model","p","q","dist","aic","bic","lbz","lbz2c","lbz2a","persistence"
"CNY","ARMA(2,2)",1,2,"sstd",1.5256972575529,1.55631369388947,0.538271391497456,1.59418490741636e-05,3.0035132048134e-06,0.951943354754713
"CNY","ARMA(2,2)",2,2,"norm",1.5620926634861,1.58992578742843,0.488156159470826,0.0136307319087062,0.00438351983064311,0.921528793278211
"CNY","ARMA(2,2)",2,2,"std",1.52724837676562,1.55786481310219,0.53399108062363,2.01679072161509e-05,3.85194240259956e-06,0.948329223622823
"CNY","ARMA(2,2)",2,2,"sstd",1.52607732570428,1.55947707443508,0.418971180210694,1.8294635663052e-05,3.47434652536727e-06,0.949817244944581
"CNY","ARMA(2,2)",3,2,"norm",1.56329505774807,1.59391149408464,0.488024799998274,0.0132581728288234,0.00425013051203982,0.9216045877438
"CNY","ARMA(2,2)",3,2,"std",1.52838947411846,1.56178922284927,0.535054723482517,1.78105314271315e-05,3.37714611875484e-06,0.948560378633736
"CNY","ARMA(2,2)",3,2,"sstd",1.52783184031357,1.56401490143861,0.539310761911315,1.41992262706614e-05,2.65749768801893e-06,0.952121332200107
"CNY","ARMA(2,2)",4,2,"norm",1.56315196870798,1.59655171743878,0.43203240698763,0.19667206656066,0.095545171563925,0.87679235946228
"CNY","ARMA(2,2)",4,2,"std",1.52956343410343,1.56574649522847,0.536425844883144,1.52003376124865e-05,2.85598025095979e-06,0.948879193559863
"CNY","ARMA(2,2)",4,2,"sstd",1.52900915418011,1.56797552769938,0.54080425917819,1.22253534390326e-05,2.26869711383859e-06,0.952386583770691
"CNY","ARMA(2,2)",1,3,"norm",1.55706412506488,1.58489724900721,0.450021288740337,0.0636115433507008,0.0251232756911212,0.906516811949201
"CNY","ARMA(2,2)",1,3,"std",1.52555327038963,1.5561697067262,0.501732834272582,3.1839144066792e-05,6.24857667841372e-06,0.935104687006316
"CNY","ARMA(2,2)",1,3,"sstd",1.52512175367203,1.55852150240283,0.506649303454686,7.95147531175155e-05,1.65263577536212e-05,0.938861242893957
"CNY","ARMA(2,2)",2,3,"norm",1.55805668109449,1.58867311743106,0.450020354352985,0.0637145685944663,0.025170325065897,0.906503042579242
"CNY","ARMA(2,2)",2,3,"std",1.52654582260394,1.55994557133474,0.501685808638686,3.16751359388245e-05,6.2144474168857e-06,0.935103064987777
"CNY","ARMA(2,2)",2,3,"sstd",1.52611431366738,1.56229737479241,0.506666325718246,7.95645074542772e-05,1.65373704938965e-05,0.938859796812949
