Date,CNY,USD,TWI,SDR
17-Sep-2018,4.9204,0.7162,61.7,0.5106
18-Sep-2018,4.9443,0.7207,62,0.5146
19-Sep-2018,4.9666,0.7248,62.3,0.5172
20-Sep-2018,4.9722,0.726,62.4,0.5178
21-Sep-2018,4.9889,0.7296,62.5,0.5196
24-Sep-2018,4.9796,0.7262,62.4,0.5168
25-Sep-2018,4.9726,0.7244,62.3,0.5158
26-Sep-2018,4.9935,0.7264,62.5,0.5174
27-Sep-2018,4.9723,0.7233,62.2,0.5155
28-Sep-2018,4.9708,0.7222,62.2,0.5151
02-Oct-2018,4.9455,0.72,62.2,0.5158
03-Oct-2018,4.9332,0.7182,62,0.5161
04-Oct-2018,4.8665,0.7085,61.4,0.5086
05-Oct-2018,4.8528,0.7065,61.2,0.5082
08-Oct-2018,4.8697,0.7059,61.3,0.5074
09-Oct-2018,4.9,0.709,61.5,0.5096
10-Oct-2018,4.9259,0.7118,61.8,0.5123
11-Oct-2018,4.9025,0.7072,61.4,0.5079
12-Oct-2018,4.9156,0.7123,61.6,0.5101
15-Oct-2018,4.9172,0.7108,61.6,0.5087
16-Oct-2018,4.9316,0.7122,61.6,0.5095
17-Oct-2018,4.9403,0.7136,61.7,0.5107
18-Oct-2018,4.9461,0.7131,61.8,0.5112
19-Oct-2018,4.9314,0.7109,61.7,0.5103
22-Oct-2018,4.9268,0.7107,61.6,0.5112
23-Oct-2018,4.903,0.7063,61.4,0.5077
24-Oct-2018,4.9277,0.7104,61.6,0.5111
25-Oct-2018,4.9138,0.7077,61.5,0.5103
26-Oct-2018,4.8965,0.7034,61.3,0.5072
29-Oct-2018,4.9361,0.7099,61.8,0.513
30-Oct-2018,4.943,0.7093,61.8,0.512
31-Oct-2018,4.936,0.7085,61.9,0.5126
01-Nov-2018,4.9665,0.713,62.1,0.5159
02-Nov-2018,5.0098,0.7243,62.8,0.5225
05-Nov-2018,4.9704,0.7189,62.3,0.5169
06-Nov-2018,4.9935,0.7213,62.6,0.5204
07-Nov-2018,5.0337,0.7264,62.8,0.5233
08-Nov-2018,5.0426,0.7274,63,0.5224
09-Nov-2018,5.0326,0.7244,62.9,0.5219
12-Nov-2018,5.0303,0.7226,62.9,0.5219
13-Nov-2018,5.0153,0.7212,62.8,0.5229
14-Nov-2018,5.0164,0.7217,62.7,0.5232
15-Nov-2018,5.0507,0.7279,63.1,0.5273
16-Nov-2018,5.0462,0.7269,63.1,0.5261
19-Nov-2018,5.0744,0.7308,63.3,0.5287
20-Nov-2018,5.0499,0.7274,62.9,0.5246
21-Nov-2018,5.0249,0.7235,62.7,0.5214
22-Nov-2018,5.0247,0.725,62.8,0.5232
23-Nov-2018,5.0311,0.725,62.8,0.5232
26-Nov-2018,5.0335,0.725,62.8,0.5232
27-Nov-2018,5.0194,0.7228,62.7,0.5221
28-Nov-2018,5.0297,0.7233,62.8,0.5237
29-Nov-2018,5.0759,0.7314,63.2,0.5301
30-Nov-2018,5.0797,0.7316,63.3,0.5289
03-Dec-2018,5.0955,0.7367,63.6,0.5326
04-Dec-2018,5.0447,0.7375,63.4,0.5334
05-Dec-2018,5.0048,0.7288,62.8,0.5252
06-Dec-2018,4.97,0.7226,62.4,0.5217
07-Dec-2018,4.9699,0.7233,62.4,0.5228
10-Dec-2018,4.977,0.7221,62.3,0.5211
11-Dec-2018,4.9731,0.7205,62.4,0.5201
12-Dec-2018,4.9677,0.7215,62.5,0.5213
13-Dec-2018,4.9668,0.7226,62.5,0.5232
14-Dec-2018,4.9539,0.7189,62.2,0.5194
17-Dec-2018,4.948,0.7173,62.2,0.5202
18-Dec-2018,4.9565,0.7189,62.2,0.5199
19-Dec-2018,4.9562,0.7193,62.1,0.519
20-Dec-2018,4.9017,0.7095,61.4,0.512
21-Dec-2018,4.8986,0.711,61.3,0.5118
24-Dec-2018,4.875,0.7065,61,0.5092
27-Dec-2018,4.8643,0.706,60.9,0.5087
28-Dec-2018,4.834,0.7051,60.6,0.5085
31-Dec-2018,4.8548,0.7058,60.7,0.5075
02-Jan-2019,4.8131,0.702,60.3,0.5047
03-Jan-2019,4.7756,0.6945,59.7,0.4994
04-Jan-2019,4.821,0.7024,60.3,0.5063
07-Jan-2019,4.8831,0.7133,61,0.5129
08-Jan-2019,4.8898,0.713,61.1,0.5119
09-Jan-2019,4.892,0.7154,61.2,0.5134
10-Jan-2019,4.88,0.7185,61.2,0.5157
11-Jan-2019,4.8736,0.722,61.4,0.5165
14-Jan-2019,4.855,0.7184,61.2,0.5134
15-Jan-2019,4.87,0.7212,61.4,0.5162
16-Jan-2019,4.8711,0.7196,61.4,0.5157
17-Jan-2019,4.8392,0.7152,61.1,0.5136
18-Jan-2019,4.875,0.7193,61.5,0.5162
21-Jan-2019,4.8668,0.7169,61.4,0.5146
22-Jan-2019,4.8556,0.7137,61.2,0.5123
23-Jan-2019,4.8421,0.7137,61.1,0.5132
24-Jan-2019,4.8251,0.711,60.8,0.5107
25-Jan-2019,4.8071,0.7095,60.7,0.51
29-Jan-2019,4.8334,0.7167,61,0.5134
30-Jan-2019,4.8307,0.7195,61.2,0.5149
31-Jan-2019,4.8698,0.7268,61.6,0.5202
01-Feb-2019,4.8749,0.7241,61.5,0.5169
04-Feb-2019,4.8749,0.7227,61.5,0.5168
05-Feb-2019,4.8972,0.726,61.8,0.52
06-Feb-2019,4.825,0.7153,60.9,0.5129
07-Feb-2019,4.7886,0.7099,60.6,0.5097
08-Feb-2019,4.773,0.7076,60.4,0.5092
11-Feb-2019,4.8077,0.7093,60.7,0.51
12-Feb-2019,4.8,0.7072,60.6,0.5093
13-Feb-2019,4.8195,0.7134,60.9,0.5144
14-Feb-2019,4.8144,0.7119,60.9,0.5123
15-Feb-2019,4.8065,0.7093,60.7,0.512
18-Feb-2019,4.8308,0.715,61.1,0.5157
19-Feb-2019,4.8188,0.7113,60.9,0.513
20-Feb-2019,4.8155,0.7163,61,0.5163
21-Feb-2019,4.7952,0.7162,61,0.5147
22-Feb-2019,4.7736,0.7093,60.5,0.5093
25-Feb-2019,4.7776,0.7144,60.8,0.5134
26-Feb-2019,4.795,0.7159,60.9,0.5135
27-Feb-2019,4.8072,0.7183,61,0.5149
28-Feb-2019,4.7745,0.7146,60.7,0.5113
01-Mar-2019,4.751,0.7093,60.4,0.5074
04-Mar-2019,4.7468,0.7095,60.5,0.5088
05-Mar-2019,4.7429,0.7076,60.4,0.5082
06-Mar-2019,4.7241,0.7035,60.1,0.5053
07-Mar-2019,4.7299,0.7049,60.2,0.507
08-Mar-2019,4.711,0.7009,60,0.5039
11-Mar-2019,4.7353,0.7044,60.2,0.5079
12-Mar-2019,4.7459,0.7069,60.3,0.5095
13-Mar-2019,4.734,0.7055,60.2,0.5082
14-Mar-2019,4.7374,0.7059,60.2,0.5075
15-Mar-2019,4.7581,0.7081,60.5,0.5091
18-Mar-2019,4.7764,0.7115,60.6,0.511
19-Mar-2019,4.7716,0.7105,60.5,0.5097
20-Mar-2019,4.7499,0.7075,60.3,0.5075
21-Mar-2019,4.7741,0.7145,60.6,0.5125
22-Mar-2019,4.7646,0.7106,60.5,0.5091
25-Mar-2019,4.7528,0.7079,60.3,0.5087
26-Mar-2019,4.7782,0.7122,60.6,0.5114
27-Mar-2019,4.7686,0.7101,60.6,0.5098
28-Mar-2019,4.7759,0.7097,60.6,0.5101
29-Mar-2019,4.7659,0.7087,60.5,0.5105
01-Apr-2019,4.7755,0.7121,60.8,0.5129
02-Apr-2019,4.7582,0.708,60.5,0.51
03-Apr-2019,4.7693,0.7106,60.7,0.5127
04-Apr-2019,4.7748,0.7111,60.7,0.512
05-Apr-2019,4.7859,0.7125,60.9,0.5134
08-Apr-2019,4.7671,0.7094,60.7,0.5114
09-Apr-2019,4.7916,0.7136,61,0.5142
10-Apr-2019,4.7971,0.7144,61,0.5142
11-Apr-2019,4.8092,0.7163,61.2,0.5156
12-Apr-2019,4.7932,0.7132,61,0.5131
15-Apr-2019,4.8078,0.7168,61.2,0.5156
16-Apr-2019,4.7956,0.7147,61.1,0.514
17-Apr-2019,4.8198,0.72,61.5,0.518
18-Apr-2019,4.8079,0.7183,61.4,0.5166
23-Apr-2019,4.782,0.7121,61,0.5134
24-Apr-2019,4.7315,0.7039,60.4,0.5074
26-Apr-2019,4.7298,0.7025,60.4,0.5088
29-Apr-2019,4.7485,0.7056,60.6,0.5107
30-Apr-2019,4.7442,0.7039,60.5,0.5092
01-May-2019,4.7508,0.7054,60.6,0.509
02-May-2019,4.7279,0.702,60.3,0.5059
03-May-2019,4.7131,0.6998,60.1,0.505
06-May-2019,4.7394,0.6989,60.1,0.5053
07-May-2019,4.7674,0.7034,60.5,0.5076
08-May-2019,4.7543,0.7023,60.4,0.5068
09-May-2019,4.7467,0.6976,60.1,0.5035
10-May-2019,4.7598,0.6995,60.2,0.5055
13-May-2019,4.7821,0.6976,60.2,0.5033
14-May-2019,4.7807,0.6955,60.1,0.5022
15-May-2019,4.7665,0.6932,60,0.5009
16-May-2019,4.7559,0.6914,59.8,0.5002
17-May-2019,4.7528,0.6881,59.7,0.4979
20-May-2019,4.7829,0.692,60.1,0.5018
21-May-2019,4.7502,0.6878,59.7,0.4991
22-May-2019,4.7528,0.6875,59.8,0.4992
23-May-2019,4.7537,0.6876,59.8,0.499
24-May-2019,4.7612,0.6888,59.8,0.5003
27-May-2019,4.7802,0.6937,60,0.5027
28-May-2019,4.7852,0.6929,60.1,0.5021
29-May-2019,4.7898,0.693,60.1,0.5022
30-May-2019,4.7884,0.6929,60.2,0.5027
31-May-2019,4.7769,0.6916,60,0.5022
03-Jun-2019,4.7965,0.6948,60.1,0.5044
04-Jun-2019,4.8227,0.6982,60.3,0.5058
05-Jun-2019,4.8373,0.7,60.4,0.5058
06-Jun-2019,4.8216,0.6975,60.2,0.5039
07-Jun-2019,4.816,0.697,60.2,0.504
11-Jun-2019,4.8093,0.6953,60,0.5021
12-Jun-2019,4.8063,0.6948,60,0.5014
13-Jun-2019,4.7832,0.6913,59.7,0.4986
14-Jun-2019,4.7762,0.6898,59.6,0.4983
17-Jun-2019,4.7619,0.6878,59.6,0.4972
18-Jun-2019,4.7379,0.684,59.2,0.4954
19-Jun-2019,4.7477,0.6878,59.5,0.4984
20-Jun-2019,4.7345,0.6895,59.3,0.4992
21-Jun-2019,4.7626,0.6933,59.5,0.4997
24-Jun-2019,4.7797,0.6954,59.6,0.5012
25-Jun-2019,4.7893,0.6958,59.6,0.5001
26-Jun-2019,4.7979,0.697,59.8,0.5009
27-Jun-2019,4.8099,0.6992,60,0.5031
28-Jun-2019,4.8181,0.7013,60.1,0.5045
01-Jul-2019,4.788,0.6994,59.9,0.5031
02-Jul-2019,4.7902,0.6979,59.9,0.5028
03-Jul-2019,4.8192,0.6998,60.1,0.505
04-Jul-2019,4.8335,0.7036,60.4,0.5077
05-Jul-2019,4.8271,0.702,60.3,0.5066
08-Jul-2019,4.8167,0.699,60.2,0.5051
09-Jul-2019,4.7881,0.6958,60,0.5038
10-Jul-2019,4.7668,0.6924,59.7,0.5019
11-Jul-2019,4.7857,0.6972,59.9,0.5051
12-Jul-2019,4.8109,0.7001,60.2,0.5057
15-Jul-2019,4.8357,0.7034,60.4,0.5085
16-Jul-2019,4.8375,0.7036,60.4,0.5081
17-Jul-2019,4.8245,0.701,60.3,0.5075
18-Jul-2019,4.8374,0.7034,60.5,0.5094
19-Jul-2019,4.8581,0.7065,60.6,0.5114
22-Jul-2019,4.8414,0.7038,60.5,0.5087
23-Jul-2019,4.8319,0.7019,60.4,0.508
24-Jul-2019,4.8063,0.6985,60.2,0.5062
25-Jul-2019,4.7913,0.6968,60,0.5051
26-Jul-2019,4.777,0.6944,59.9,0.5036
29-Jul-2019,4.7603,0.6908,59.6,0.5016
30-Jul-2019,4.7518,0.6895,59.6,0.5012
31-Jul-2019,4.7452,0.6894,59.5,0.5012
01-Aug-2019,4.7273,0.6851,59.4,0.4981
02-Aug-2019,4.7249,0.6812,59,0.4973
06-Aug-2019,4.779,0.6784,59.1,0.4935
07-Aug-2019,4.7328,0.6716,58.5,0.488
08-Aug-2019,4.7736,0.6775,59,0.4927
09-Aug-2019,4.8013,0.681,59.3,0.4949
12-Aug-2019,4.7936,0.6786,59.1,0.4933
13-Aug-2019,4.7797,0.6764,59,0.4916
14-Aug-2019,4.7644,0.6788,59.1,0.4931
15-Aug-2019,4.7667,0.6783,59.1,0.4931
16-Aug-2019,4.7783,0.679,59.2,0.494
19-Aug-2019,4.7803,0.6783,59.2,0.4945
20-Aug-2019,4.7977,0.6789,59.3,0.4948
21-Aug-2019,4.7849,0.6781,59.2,0.4947
